Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SIGS2,10.8,10.8,10.5,"2,350.00",10.5,10.95,"25,320.00",06-07-2026
SIGS2,10.5,10.6,10.5,"3,000.00",10.6,10.5,"31,700.00",07-07-2026
SIGS2,10.31,10.31,10.31,150.00,10.31,10.6,"1,546.50",08-07-2026
SIGS2,10.3,10.3,10.25,"1,900.00",10.25,10.31,"19,525.00",09-07-2026
SIGS2,10.25,10.25,10.2,"10,000.00",10.2,10.25,"102,250.00",10-07-2026
SIGS2,10.2,10.2,10.1,"1,500.00",10.1,10.2,"15,220.00",15-07-2026
SIGS2,10.4,11.0,10.4,"7,000.00",11.0,10.1,"74,741.00",16-07-2026
SIGS2,10.67,10.67,10.67,110.00,10.67,11.0,"1,173.70",17-07-2026
SIGS2,10.5,10.5,10.5,300.00,10.5,10.67,"3,150.00",20-07-2026
SIGS2,10.35,10.35,10.35,"1,000.00",10.35,10.5,"10,350.00",21-07-2026
SIGS2,10.04,10.04,10.04,100.00,10.04,10.35,"1,004.00",22-07-2026
SIGS2,10.1,10.5,10.1,"1,900.00",10.5,10.2,"19,470.00",27-07-2026
SIGS2,10.3,10.5,10.3,"3,000.00",10.5,10.5,"31,400.00",28-07-2026
SIGS2,10.3,10.5,10.3,"2,350.00",10.5,10.5,"24,425.00",29-07-2026
SIGS2,10.8,10.81,10.8,"10,000.00",10.81,10.5,"108,020.50",03-08-2026
SIGS2,10.8,10.8,10.8,200.00,10.8,10.81,"2,160.00",05-08-2026
SIGS2,10.50,10.70,10.50,"10,800.00",10.70,10.80,"114,960.00",11-08-2026
