Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SLBBL,951.0,971.0,951.0,"6,629.00",971.0,970.0,"6,386,581.10",10-08-2022
SLBBL,951.0,971.0,951.0,"6,629.00",971.0,970.0,"6,386,581.10",10-08-2022
SLBBL,953.0,990.0,953.0,"5,320.00",957.0,971.0,"5,149,792.20",11-08-2022
SLBBL,953.0,990.0,953.0,"5,320.00",957.0,971.0,"5,149,792.20",12-08-2022
SLBBL,953.0,990.0,953.0,"5,320.00",957.0,971.0,"5,149,792.20",13-08-2022
SLBBL,969.0,977.0,945.0,"4,498.00",945.0,957.0,"4,323,647.10",14-08-2022
SLBBL,946.0,981.0,945.0,"14,020.00",973.0,945.0,"13,655,452.20",15-08-2022
SLBBL,990.0,990.0,965.0,"6,176.00",970.0,973.0,"6,013,153.90",16-08-2022
SLBBL,974.0,980.0,967.0,"1,046.00",971.0,970.0,"1,017,293.50",17-08-2022
SLBBL,980.0,990.0,975.2,"3,131.00",975.2,971.0,"3,079,270.00",18-08-2022
SLBBL,980.0,990.0,975.2,"3,131.00",975.2,971.0,"3,079,270.00",19-08-2022
SLBBL,980.0,990.0,975.2,"3,131.00",975.2,971.0,"3,079,270.00",20-08-2022
SLBBL,980.1,990.0,977.0,"1,500.00",982.0,975.2,"1,473,693.30",21-08-2022
SLBBL,975.0,982.0,972.0,"1,586.00",980.0,982.0,"1,546,034.80",22-08-2022
SLBBL,990.0,990.0,966.0,"2,816.00",980.0,980.0,"2,733,150.30",23-08-2022
SLBBL,986.0,986.0,971.0,530.00,975.0,980.0,"518,776.50",24-08-2022
SLBBL,965.0,984.0,963.0,"2,831.00",974.0,975.0,"2,751,485.90",25-08-2022
SLBBL,985.0,988.0,955.1,"1,355.00",961.0,974.0,"1,317,232.70",26-08-2022
SLBBL,985.0,988.0,955.1,"1,355.00",961.0,974.0,"1,317,232.70",27-08-2022
SLBBL,945.0,975.0,911.0,"4,167.00",941.0,961.0,"3,912,461.40",28-08-2022
SLBBL,947.0,950.0,935.0,"1,959.00",936.1,941.0,"1,847,800.80",29-08-2022
SLBBL,952.8,952.8,917.0,"3,015.00",933.0,936.1,"2,805,527.20",30-08-2022
SLBBL,945.0,945.0,897.0,"2,905.00",897.0,933.0,"2,641,569.00",31-08-2022
SLBBL,905.0,914.9,888.0,"4,881.00",914.0,897.0,"4,423,752.70",01-09-2022
SLBBL,906.0,924.0,901.0,288.00,916.9,914.0,"261,136.00",02-09-2022
SLBBL,906.0,924.0,901.0,288.00,916.9,914.0,"261,136.00",03-09-2022
SLBBL,925.0,925.0,908.0,"1,605.00",919.0,916.9,"1,467,535.00",04-09-2022
SLBBL,934.0,934.0,900.0,"5,725.00",900.0,919.0,"5,170,641.30",05-09-2022
SLBBL,892.0,899.0,870.0,"7,136.00",870.0,900.0,"6,288,513.50",06-09-2022
SLBBL,866.5,883.8,866.5,"1,128.00",870.0,870.0,"990,912.60",07-09-2022
SLBBL,886.9,886.9,869.2,807.00,872.1,870.0,"708,342.90",08-09-2022
SLBBL,886.9,886.9,869.2,807.00,872.1,870.0,"708,342.90",09-09-2022
SLBBL,886.9,886.9,869.2,807.00,872.1,870.0,"708,342.90",10-09-2022
SLBBL,885.0,885.0,865.0,929.00,876.0,872.1,"809,532.00",11-09-2022
SLBBL,874.0,874.0,858.5,666.00,870.0,876.0,"574,927.60",12-09-2022
SLBBL,882.0,882.0,870.0,"2,157.00",882.0,870.0,"1,886,304.00",13-09-2022
SLBBL,882.0,910.0,882.0,"4,170.00",910.0,882.0,"3,751,513.50",14-09-2022
SLBBL,893.0,915.0,873.0,"1,628.00",873.1,910.0,"1,439,537.50",15-09-2022
SLBBL,860.0,869.0,842.0,"1,689.00",865.0,873.1,"1,441,692.00",16-09-2022
SLBBL,860.0,869.0,842.0,"1,689.00",865.0,873.1,"1,441,692.00",17-09-2022
SLBBL,851.1,851.1,831.0,"2,856.00",841.0,865.0,"2,396,358.00",18-09-2022
SLBBL,851.1,851.1,831.0,"2,856.00",841.0,865.0,"2,396,358.00",19-09-2022
SLBBL,824.2,824.2,810.0,"2,497.00",815.0,841.0,"2,033,308.50",20-09-2022
SLBBL,830.9,847.5,815.0,"1,936.00",830.0,815.0,"1,595,472.30",21-09-2022
SLBBL,825.0,830.0,800.1,"2,126.00",805.0,830.0,"1,725,675.00",22-09-2022
SLBBL,825.0,830.0,800.1,"2,126.00",805.0,830.0,"1,725,675.00",23-09-2022
SLBBL,825.0,830.0,800.1,"2,126.00",805.0,830.0,"1,725,675.00",24-09-2022
SLBBL,790.0,805.0,789.0,"1,920.00",796.0,805.0,"1,533,265.50",25-09-2022
SLBBL,790.0,805.0,789.0,"1,920.00",796.0,805.0,"1,533,265.50",26-09-2022
SLBBL,808.0,825.0,780.1,"2,504.00",780.1,796.0,"2,000,014.30",27-09-2022
SLBBL,790.0,800.0,790.0,"1,193.00",795.0,780.1,"951,110.40",28-09-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",29-09-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",30-09-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",01-10-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",02-10-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",03-10-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",04-10-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",05-10-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",06-10-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",07-10-2022
SLBBL,805.0,817.9,800.0,"1,272.00",817.9,795.0,"1,027,808.00",08-10-2022
SLBBL,834.0,840.0,830.0,705.00,840.0,817.9,"587,520.00",09-10-2022
SLBBL,836.0,844.0,817.0,"1,887.00",820.0,840.0,"1,556,865.30",10-10-2022
SLBBL,805.0,817.0,802.0,296.00,816.0,820.0,"239,842.00",11-10-2022
SLBBL,806.3,839.0,806.3,"2,437.00",834.0,816.0,"2,014,915.70",12-10-2022
SLBBL,849.0,852.0,832.0,"2,783.00",835.0,834.0,"2,348,637.00",13-10-2022
SLBBL,849.0,852.0,832.0,"2,783.00",835.0,834.0,"2,348,637.00",14-10-2022
SLBBL,849.0,852.0,832.0,"2,783.00",835.0,834.0,"2,348,637.00",15-10-2022
SLBBL,835.0,835.0,820.0,"2,776.00",825.0,835.0,"2,286,810.80",16-10-2022
SLBBL,834.9,839.9,820.0,618.00,820.0,825.0,"510,997.90",17-10-2022
SLBBL,834.9,839.9,820.0,618.00,820.0,825.0,"510,997.90",18-10-2022
SLBBL,820.0,820.0,803.0,"1,429.00",811.0,820.0,"1,149,590.40",19-10-2022
SLBBL,800.0,821.0,800.0,990.00,821.0,811.0,"794,652.50",20-10-2022
SLBBL,800.0,821.0,800.0,990.00,821.0,811.0,"794,652.50",21-10-2022
SLBBL,800.0,821.0,800.0,990.00,821.0,811.0,"794,652.50",22-10-2022
SLBBL,805.0,824.0,805.0,674.00,824.0,821.0,"552,202.00",23-10-2022
SLBBL,805.0,824.0,805.0,674.00,824.0,821.0,"552,202.00",24-10-2022
SLBBL,805.0,824.0,805.0,674.00,824.0,821.0,"552,202.00",25-10-2022
