Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SLCF,8.28,8.3,8.15,"2,400.00",8.15,8.12,"19,832.00",10-08-2022
SLCF,8.28,8.3,8.15,"2,400.00",8.15,8.12,"19,832.00",10-08-2022
SLCF,8.0,8.1,7.9,"18,800.00",8.1,8.15,"150,086.00",11-08-2022
SLCF,8.0,8.1,7.9,"18,800.00",8.1,8.15,"150,086.00",12-08-2022
SLCF,8.0,8.1,7.9,"18,800.00",8.1,8.15,"150,086.00",13-08-2022
SLCF,8.1,8.1,7.9,"3,900.00",8.0,8.1,"31,027.00",14-08-2022
SLCF,8.0,8.16,7.86,"5,200.00",7.95,8.0,"41,434.00",15-08-2022
SLCF,7.91,8.0,7.91,"2,900.00",8.0,7.95,"23,099.00",16-08-2022
SLCF,7.84,8.0,7.84,"3,220.00",7.96,8.0,"25,623.80",17-08-2022
SLCF,7.83,8.27,7.82,"1,900.00",8.27,7.96,"15,032.00",18-08-2022
SLCF,7.83,8.27,7.82,"1,900.00",8.27,7.96,"15,032.00",19-08-2022
SLCF,7.83,8.27,7.82,"1,900.00",8.27,7.96,"15,032.00",20-08-2022
SLCF,8.2,8.2,8.04,900.00,8.04,8.27,"7,316.00",21-08-2022
SLCF,7.9,8.05,7.9,"1,000.00",7.9,8.04,"7,957.00",22-08-2022
SLCF,7.77,8.16,7.77,"1,500.00",8.16,7.9,"11,866.00",23-08-2022
SLCF,8.15,8.16,8.0,"3,500.00",8.0,8.16,"28,276.00",24-08-2022
SLCF,7.91,8.05,7.9,"2,900.00",7.94,8.0,"23,127.00",25-08-2022
SLCF,7.82,7.82,7.82,300.00,7.82,7.94,"2,346.00",26-08-2022
SLCF,7.82,7.82,7.82,300.00,7.82,7.94,"2,346.00",27-08-2022
SLCF,7.67,8.25,7.67,"2,800.00",7.8,7.82,"22,263.00",28-08-2022
SLCF,7.8,8.0,7.8,"12,900.00",7.95,7.8,"103,060.00",29-08-2022
SLCF,7.99,8.0,7.9,"4,950.00",7.91,7.95,"39,551.00",30-08-2022
SLCF,7.81,7.81,7.81,"1,000.00",7.81,7.91,"7,810.00",31-08-2022
SLCF,7.7,7.95,7.7,"6,500.00",7.94,7.81,"51,075.00",01-09-2022
SLCF,7.79,7.8,7.79,300.00,7.8,7.94,"2,338.00",02-09-2022
SLCF,7.79,7.8,7.79,300.00,7.8,7.94,"2,338.00",03-09-2022
SLCF,7.75,7.9,7.75,900.00,7.76,7.8,"7,010.00",04-09-2022
SLCF,7.76,7.76,7.7,300.00,7.7,7.76,"2,322.00",05-09-2022
SLCF,7.7,8.0,7.57,"4,080.00",7.57,7.7,"31,565.50",06-09-2022
SLCF,7.5,7.95,7.49,"5,544.00",7.95,7.57,"42,669.16",07-09-2022
SLCF,7.8,8.19,7.65,"5,500.00",8.19,7.95,"42,862.00",08-09-2022
SLCF,7.8,8.19,7.65,"5,500.00",8.19,7.95,"42,862.00",09-09-2022
SLCF,7.80,8.19,7.65,"5,500.00",8.19,7.95,"42,862.00",10-09-2022
