Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SLI,339.0,339.0,326.0,"8,430.00",328.2,345.9,"2,775,525.70",11-12-2022
SLI,322.0,339.6,322.0,"9,476.00",329.0,328.2,"3,105,991.20",12-12-2022
SLI,323.0,345.3,323.0,"4,219.00",335.0,329.0,"1,407,237.30",13-12-2022
SLI,330.0,342.0,329.0,"4,001.00",337.9,335.0,"1,332,502.70",14-12-2022
SLI,333.0,341.0,327.1,"4,435.00",327.1,337.9,"1,467,332.30",15-12-2022
SLI,333.0,341.0,327.1,"4,435.00",327.1,337.9,"1,467,332.30",16-12-2022
SLI,333.0,341.0,327.1,"4,435.00",327.1,337.9,"1,467,332.30",17-12-2022
SLI,321.0,333.5,317.2,"2,610.00",320.0,327.1,"834,318.40",18-12-2022
SLI,313.7,348.0,313.7,"4,203.00",320.0,320.0,"1,346,065.60",19-12-2022
SLI,317.0,328.0,316.0,"2,792.00",321.1,320.0,"902,113.40",20-12-2022
SLI,318.0,324.0,317.0,"6,586.00",317.3,321.1,"2,103,524.20",21-12-2022
SLI,317.0,322.3,311.5,"3,556.00",316.1,317.3,"1,125,284.90",22-12-2022
SLI,317.00,322.30,311.50,"3,556.00",316.10,317.30,"1,125,284.90",23-12-2022
