Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SMH,391.0,430.1,391.0,"1,220.00",430.1,391.0,"521,679.50",27-03-2023
SMH,438.7,473.1,438.7,"1,120.00",473.1,430.1,"529,026.00",28-03-2023
SMH,480.0,520.4,480.0,"2,500.00",520.4,473.1,"1,299,954.00",29-03-2023
SMH,530.8,572.4,530.8,"5,950.00",572.4,520.4,"3,403,512.00",30-03-2023
SMH,530.8,572.4,530.8,"5,950.00",572.4,520.4,"3,403,512.00",31-03-2023
SMH,530.8,572.4,530.8,"5,950.00",572.4,520.4,"3,403,512.00",01-04-2023
SMH,580.0,629.6,579.0,"37,769.00",585.0,572.4,"23,284,501.00",02-04-2023
SMH,575.0,576.0,550.2,"26,213.00",560.1,585.0,"14,664,131.20",03-04-2023
SMH,549.0,611.0,548.9,"8,930.00",577.0,560.1,"5,087,702.00",04-04-2023
SMH,572.0,601.5,570.0,"8,391.00",598.9,577.0,"4,956,748.80",05-04-2023
SMH,590.1,599.0,583.0,"5,259.00",586.9,598.9,"3,096,594.00",06-04-2023
SMH,590.1,599.0,583.0,"5,259.00",586.9,598.9,"3,096,594.00",07-04-2023
SMH,590.1,599.0,583.0,"5,259.00",586.9,598.9,"3,096,594.00",08-04-2023
SMH,578.0,580.0,560.0,"11,750.00",560.0,586.9,"6,703,907.00",09-04-2023
SMH,560.0,577.0,560.0,"3,660.00",570.0,560.0,"2,077,840.00",10-04-2023
SMH,560.2,580.0,560.2,"2,983.00",579.9,570.0,"1,708,036.00",11-04-2023
SMH,570.1,599.0,570.1,"4,623.00",588.0,579.9,"2,721,195.00",12-04-2023
SMH,588.0,588.5,570.1,"5,773.00",570.1,588.0,"3,351,953.30",13-04-2023
SMH,588.0,588.5,570.1,"5,773.00",570.1,588.0,"3,351,953.30",14-04-2023
SMH,588.0,588.5,570.1,"5,773.00",570.1,588.0,"3,351,953.30",15-04-2023
SMH,570.1,587.5,569.9,"5,025.00",574.0,570.1,"2,883,801.50",16-04-2023
SMH,563.1,580.0,563.1,"8,530.00",575.0,574.0,"4,897,826.00",17-04-2023
SMH,585.0,586.5,560.0,"6,700.00",569.8,575.0,"3,780,847.00",18-04-2023
SMH,568.00,570.90,560.00,"1,830.00",563.00,569.80,"1,034,255.00",19-04-2023
