Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SNORL,725.1,794.1,725.1,"12,640.00",794.1,690.6,"10,035,993.00",06-07-2026
SNORL,833.8,833.8,700.0,"81,130.00",753.4,794.1,"61,965,678.00",07-07-2026
SNORL,750.0,810.0,727.4,"31,280.00",786.5,753.4,"24,215,171.00",08-07-2026
SNORL,770.0,904.4,770.0,"29,352.00",879.0,786.5,"24,260,216.30",09-07-2026
SNORL,881.0,881.0,810.0,"38,755.00",820.0,879.0,"32,216,467.70",10-07-2026
SNORL,810.0,815.0,777.0,"28,359.00",780.0,820.0,"22,528,401.80",13-07-2026
SNORL,770.0,794.9,745.0,"26,377.00",769.0,780.0,"20,202,737.70",14-07-2026
SNORL,769.0,790.0,763.0,"12,249.00",771.0,769.0,"9,534,059.70",15-07-2026
SNORL,771.0,784.9,769.0,"16,511.00",779.0,771.0,"12,822,973.00",16-07-2026
SNORL,779.1,815.0,779.1,"25,341.00",803.0,779.0,"20,374,792.60",17-07-2026
SNORL,810.0,835.0,792.1,"26,070.00",830.0,803.0,"21,253,242.30",20-07-2026
SNORL,850.0,903.0,807.0,"45,822.00",880.0,830.0,"39,530,558.00",21-07-2026
SNORL,860.0,884.9,840.1,"24,582.00",875.0,880.0,"21,260,675.50",22-07-2026
SNORL,851.0,"1,006.20",851.0,"44,496.00",995.0,875.0,"41,242,041.50",23-07-2026
SNORL,979.0,"1,010.00",907.0,"34,165.00",910.0,979.0,"32,480,722.40",27-07-2026
SNORL,893.5,955.00,887.0,"43,061.00",926.0,910.0,"40,035,588.10",28-07-2026
SNORL,925.0,975.00,925.0,"36,032.00",971.4,926.0,"34,689,482.60",29-07-2026
SNORL,972.0,985.00,935.0,"31,452.00",938.0,971.4,"30,074,499.50",30-07-2026
SNORL,925.0,996.00,912.0,"23,492.00",926.1,938.0,"22,088,309.30",31-07-2026
SNORL,925.0,989.80,921.0,"39,699.00",944.0,926.1,"37,801,619.90",03-08-2026
SNORL,901.2,953.00,901.2,"13,212.00",929.9,944.0,"12,305,733.80",04-08-2026
SNORL,911.0,946.00,910.0,"14,428.00",928.0,929.9,"13,310,852.80",05-08-2026
SNORL,916.0,925.00,880.6,"20,417.00",881.6,928.0,"18,457,667.10",06-08-2026
SNORL,837.6,921.00,837.6,"22,802.00",906.0,881.6,"20,629,257.10",07-08-2026
SNORL,951.3,951.30,920.0,"48,245.00",926.1,906.0,"45,148,334.20",10-08-2026
SNORL,879.80,945.00,879.80,"19,214.00",914.90,926.10,"17,720,544.50",11-08-2026
