Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SOHL,610.0,616.0,600.0,"55,530.00",603.1,610.0,"33,634,948.90",06-07-2026
SOHL,603.1,610.0,597.0,"43,835.00",604.8,603.1,"26,380,130.10",07-07-2026
SOHL,575.0,600.0,575.0,"52,845.00",582.0,604.8,"31,021,781.80",08-07-2026
SOHL,577.0,585.0,561.0,"74,396.00",570.0,582.0,"42,445,642.20",09-07-2026
SOHL,560.0,576.0,549.9,"45,294.00",553.6,570.0,"25,307,984.30",10-07-2026
SOHL,526.0,553.6,525.2,"66,804.00",528.0,553.6,"35,755,874.40",13-07-2026
SOHL,501.6,538.0,501.6,"49,488.00",530.0,528.0,"26,066,660.90",14-07-2026
SOHL,530.0,540.0,521.0,"43,571.00",523.4,530.0,"23,085,517.90",15-07-2026
SOHL,520.0,531.8,500.0,"107,520.00",509.0,523.4,"55,198,370.60",16-07-2026
SOHL,500.1,546.0,500.1,"66,962.00",544.0,509.0,"35,669,962.10",17-07-2026
SOHL,544.0,602.0,534.0,"130,044.00",596.0,544.0,"74,185,570.70",20-07-2026
SOHL,570.0,615.0,570.0,"135,872.00",592.0,596.0,"80,990,069.80",21-07-2026
SOHL,600.0,600.0,575.0,"64,375.00",584.0,592.0,"37,746,509.80",22-07-2026
SOHL,584.0,627.2,571.0,"284,258.00",623.0,584.0,"171,969,426.00",23-07-2026
SOHL,600.0,618.0,581.1,"94,026.00",591.0,605.0,"55,907,366.00",27-07-2026
SOHL,561.5,619.0,561.5,"318,237.00",606.3,591.0,"190,916,615.40",28-07-2026
SOHL,605.0,614.0,589.0,"73,945.00",593.7,606.3,"44,273,097.70",29-07-2026
SOHL,564.1,600.0,564.1,"143,962.00",571.0,593.7,"83,865,787.10",30-07-2026
SOHL,571.0,589.4,566.2,"179,906.00",583.9,571.0,"104,488,334.30",31-07-2026
SOHL,583.9,595.0,571.1,"77,231.00",577.0,583.9,"44,849,291.00",03-08-2026
SOHL,570.0,588.0,567.0,"108,738.00",585.0,577.0,"62,951,934.30",04-08-2026
SOHL,585.0,672.7,576.5,"909,305.00",672.7,585.0,"581,080,486.70",05-08-2026
SOHL,672.7,702.0,656.0,"350,719.00",662.0,672.7,"237,906,322.80",06-08-2026
SOHL,662.0,720.0,646.7,"578,177.00",688.0,662.0,"392,554,054.00",07-08-2026
SOHL,688.0,724.4,688.0,"651,181.00",711.0,688.0,"463,706,120.50",10-08-2026
SOHL,680.0,725.0,680.0,"632,667.00",695.0,711.0,"448,760,589.70",11-08-2026
SOHL,670.0,700.2,670.0,"319,127.00",690.0,695.0,"220,659,992.00",12-08-2026
SOHL,690.0,702.0,678.3,"228,872.00",680.0,690.0,"157,091,679.10",13-08-2026
SOHL,670.0,686.0,670.0,"158,405.00",671.0,680.0,"107,033,793.20",14-08-2026
SOHL,671.00,709.00,660.00,"554,842.00",709.00,671.00,"384,493,712.50",17-08-2026
