Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SPDL,328.0,340.0,328.0,"34,185.00",335.0,334.0,"11,444,005.10",10-08-2022
SPDL,328.0,340.0,328.0,"34,185.00",335.0,334.0,"11,444,005.10",10-08-2022
SPDL,331.0,341.0,327.0,"19,739.00",329.0,335.0,"6,548,081.50",11-08-2022
SPDL,331.0,341.0,327.0,"19,739.00",329.0,335.0,"6,548,081.50",12-08-2022
SPDL,331.0,341.0,327.0,"19,739.00",329.0,335.0,"6,548,081.50",13-08-2022
SPDL,326.0,335.0,323.0,"20,419.00",330.0,329.0,"6,682,148.50",14-08-2022
SPDL,334.0,346.0,334.0,"32,856.00",346.0,330.0,"11,199,667.20",15-08-2022
SPDL,346.0,351.1,327.5,"45,304.00",336.0,346.0,"15,220,438.60",16-08-2022
SPDL,333.0,341.9,329.3,"24,210.00",333.0,336.0,"8,075,048.50",17-08-2022
SPDL,328.1,341.4,328.1,"24,493.00",337.4,333.0,"8,289,922.40",18-08-2022
SPDL,328.1,341.4,328.1,"24,493.00",337.4,333.0,"8,289,922.40",19-08-2022
SPDL,328.1,341.4,328.1,"24,493.00",337.4,333.0,"8,289,922.40",20-08-2022
SPDL,337.5,342.0,328.0,"24,742.00",334.0,337.4,"8,311,601.90",21-08-2022
SPDL,327.5,338.0,322.0,"21,094.00",331.0,334.0,"6,951,619.30",22-08-2022
SPDL,325.1,337.5,325.1,"12,825.00",329.9,331.0,"4,242,950.40",23-08-2022
SPDL,325.4,337.0,325.4,"27,354.00",337.0,329.9,"9,097,612.10",24-08-2022
SPDL,343.7,343.7,325.0,"42,557.00",330.0,337.0,"14,084,534.80",25-08-2022
SPDL,324.1,327.0,320.1,"11,401.00",321.0,330.0,"3,675,890.10",26-08-2022
SPDL,324.1,327.0,320.1,"11,401.00",321.0,330.0,"3,675,890.10",27-08-2022
SPDL,322.0,322.0,307.0,"44,008.00",307.0,321.0,"13,724,083.90",28-08-2022
SPDL,313.0,313.0,303.1,"14,534.00",304.5,307.0,"4,483,409.10",29-08-2022
SPDL,310.00,316.00,304.10,"16,756.00",306.00,304.50,"5,173,816.20",30-08-2022
