Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SPIL,638.0,638.0,573.9,"49,679.00",573.9,624.0,"28,692,878.10",04-04-2023
SPIL,573.9,573.9,551.0,"23,219.00",559.0,573.9,"12,904,339.10",05-04-2023
SPIL,559.0,568.9,550.9,"14,847.00",566.0,559.0,"8,287,706.20",06-04-2023
SPIL,559.0,568.9,550.9,"14,847.00",566.0,559.0,"8,287,706.20",07-04-2023
SPIL,559.0,568.9,550.9,"14,847.00",566.0,559.0,"8,287,706.20",08-04-2023
SPIL,554.8,555.0,546.0,"46,237.00",550.0,566.0,"25,349,241.20",09-04-2023
SPIL,560.0,561.0,542.0,"7,321.00",542.0,550.0,"4,007,605.00",10-04-2023
SPIL,542.0,549.9,534.0,"20,424.00",548.0,542.0,"11,039,179.40",11-04-2023
SPIL,555.0,575.0,555.0,"43,629.00",575.0,548.0,"24,616,557.00",12-04-2023
SPIL,585.0,587.0,560.0,"12,096.00",569.0,575.0,"6,938,361.60",13-04-2023
SPIL,585.0,587.0,560.0,"12,096.00",569.0,575.0,"6,938,361.60",14-04-2023
SPIL,585.0,587.0,560.0,"12,096.00",569.0,575.0,"6,938,361.60",15-04-2023
SPIL,577.5,577.5,550.1,"19,345.00",557.0,569.0,"10,864,569.70",16-04-2023
SPIL,552.4,558.0,552.1,"9,853.00",553.0,557.0,"5,461,587.80",17-04-2023
SPIL,554.0,561.9,550.1,"15,736.00",558.8,553.0,"8,715,550.90",18-04-2023
SPIL,560.0,571.0,555.0,"14,649.00",571.0,558.8,"8,264,714.50",19-04-2023
SPIL,577.9,585.0,571.0,"28,677.00",579.0,571.0,"16,622,133.40",20-04-2023
SPIL,577.9,585.0,571.0,"28,677.00",579.0,571.0,"16,622,133.40",21-04-2023
SPIL,577.9,585.0,571.0,"28,677.00",579.0,571.0,"16,622,133.40",22-04-2023
SPIL,570.0,579.0,570.0,"5,153.00",572.1,579.0,"2,952,696.10",23-04-2023
SPIL,570.0,577.0,563.0,"4,437.00",576.0,572.1,"2,536,954.50",24-04-2023
SPIL,566.8,606.0,566.8,"35,842.00",602.0,576.0,"20,744,455.50",25-04-2023
SPIL,612.9,612.9,590.0,"20,075.00",590.0,602.0,"11,964,524.30",26-04-2023
SPIL,587.3,613.8,578.5,"11,143.00",594.0,590.0,"6,528,905.60",27-04-2023
SPIL,587.3,613.8,578.5,"11,143.00",594.0,590.0,"6,528,905.60",28-04-2023
SPIL,587.3,613.8,578.5,"11,143.00",594.0,590.0,"6,528,905.60",29-04-2023
SPIL,585.0,594.0,575.0,"12,512.00",594.0,594.0,"7,274,570.50",30-04-2023
SPIL,585.0,594.0,575.0,"12,512.00",594.0,594.0,"7,274,570.50",01-05-2023
SPIL,582.2,585.0,575.1,"2,154.00",580.0,594.0,"1,248,798.50",02-05-2023
SPIL,580.0,580.0,568.5,"10,962.00",570.0,580.0,"6,244,039.40",03-05-2023
SPIL,570.1,579.0,565.0,"5,359.00",573.0,570.0,"3,070,595.50",04-05-2023
SPIL,570.1,579.0,565.0,"5,359.00",573.0,570.0,"3,070,595.50",05-05-2023
SPIL,570.1,579.0,565.0,"5,359.00",573.0,570.0,"3,070,595.50",06-05-2023
SPIL,565.1,571.0,565.1,"4,228.00",568.5,573.0,"2,405,555.10",07-05-2023
SPIL,568.0,570.0,562.2,"13,706.00",569.0,568.5,"7,751,230.10",08-05-2023
SPIL,558.1,580.3,558.1,"3,353.00",569.0,569.0,"1,898,378.30",09-05-2023
SPIL,579.9,579.9,564.0,"13,874.00",577.8,569.0,"7,925,370.60",10-05-2023
SPIL,589.0,589.0,568.0,"14,119.00",575.0,577.8,"8,116,471.60",11-05-2023
SPIL,589.0,589.0,568.0,"14,119.00",575.0,577.8,"8,116,471.60",12-05-2023
SPIL,589.0,589.0,568.0,"14,119.00",575.0,577.8,"8,116,471.60",13-05-2023
SPIL,586.0,586.0,564.0,"5,990.00",567.6,575.0,"3,419,723.60",14-05-2023
SPIL,570.00,570.00,561.00,"13,421.00",563.00,567.60,"7,573,062.70",15-05-2023
