Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SRBL,209.0,210.8,206.0,"48,857.00",209.2,209.0,"10,207,380.50",10-08-2022
SRBL,209.0,210.8,206.0,"48,857.00",209.2,209.0,"10,207,380.50",10-08-2022
SRBL,207.0,210.0,206.0,"19,601.00",207.0,209.2,"4,059,087.30",11-08-2022
SRBL,207.0,210.0,206.0,"19,601.00",207.0,209.2,"4,059,087.30",12-08-2022
SRBL,207.0,210.0,206.0,"19,601.00",207.0,209.2,"4,059,087.30",13-08-2022
SRBL,207.0,210.0,206.0,"38,481.00",206.0,207.0,"7,965,890.50",14-08-2022
SRBL,206.0,209.0,205.0,"21,400.00",208.6,206.0,"4,432,451.60",15-08-2022
SRBL,210.0,211.0,206.7,"26,926.00",209.0,208.6,"5,611,823.50",16-08-2022
SRBL,209.0,210.0,207.0,"18,202.00",208.0,209.0,"3,782,346.90",17-08-2022
SRBL,207.2,209.0,207.0,"29,877.00",207.5,208.0,"6,201,213.10",18-08-2022
SRBL,207.2,209.0,207.0,"29,877.00",207.5,208.0,"6,201,213.10",19-08-2022
SRBL,207.2,209.0,207.0,"29,877.00",207.5,208.0,"6,201,213.10",20-08-2022
SRBL,207.0,211.0,206.0,"15,738.00",208.0,207.5,"3,274,859.80",21-08-2022
SRBL,206.1,209.0,206.0,"29,526.00",207.7,208.0,"6,100,028.90",22-08-2022
SRBL,207.0,210.0,207.0,"26,183.00",208.5,207.7,"5,463,214.60",23-08-2022
SRBL,210.0,210.0,208.1,"29,351.00",209.2,208.5,"6,133,800.60",24-08-2022
SRBL,209.0,209.9,208.1,"29,138.00",209.0,209.2,"6,088,336.80",25-08-2022
SRBL,208.0,208.0,205.7,"18,926.00",205.9,209.0,"3,901,914.30",26-08-2022
SRBL,208.0,208.0,205.7,"18,926.00",205.9,209.0,"3,901,914.30",27-08-2022
SRBL,205.0,207.0,203.6,"39,672.00",203.6,205.9,"8,125,847.40",28-08-2022
SRBL,205.0,208.5,204.0,"33,153.00",208.5,203.6,"6,820,958.20",29-08-2022
SRBL,209.8,209.8,206.5,"14,940.00",207.4,208.5,"3,093,199.10",30-08-2022
SRBL,207.0,210.0,207.0,"45,163.00",209.0,207.4,"9,414,979.20",31-08-2022
SRBL,209.0,213.0,208.0,"35,247.00",210.5,209.0,"7,412,553.10",01-09-2022
SRBL,211.0,211.0,205.8,"31,792.00",209.0,210.5,"6,602,207.00",02-09-2022
SRBL,211.0,211.0,205.8,"31,792.00",209.0,210.5,"6,602,207.00",03-09-2022
SRBL,210.7,210.7,205.1,"23,429.00",207.0,209.0,"4,837,292.40",04-09-2022
SRBL,206.7,207.0,206.0,"18,012.00",207.0,207.0,"3,713,390.50",05-09-2022
SRBL,208.0,208.0,204.0,"16,817.00",204.9,207.0,"3,443,365.60",06-09-2022
SRBL,206.0,206.0,203.0,"11,421.00",204.7,204.9,"2,328,752.90",07-09-2022
SRBL,203.0,204.0,202.5,"10,879.00",203.2,204.7,"2,210,020.70",08-09-2022
SRBL,203.00,204.00,202.50,"10,879.00",203.20,204.70,"2,210,020.70",09-09-2022
