Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SRBLD83,"1,091.90","1,091.90","1,091.90",5.0,"1,099.00","1,091.90","5,495.00",06-07-2026
SRBLD83,"1,099.00","1,099.00","1,078.00","10,026.00","1,078.00","1,099.00","10,808,579.00",08-07-2026
SRBLD83,"1,060.00","1,060.00","1,050.00","100,000.00","1,052.10","1,078.00","105,360,020.00",10-07-2026
SRBLD83,"1,065.00","1,082.00","1,065.00","80,010.00","1,082.00","1,052.10","85,210,820.00",13-07-2026
SRBLD83,"1,082.00","1,099.70","1,067.00","56,850.00","1,099.70","1,082.00","60,659,997.00",14-07-2026
SRBLD83,"1,099.70","1,099.70","1,067.00","21,010.00","1,099.00","1,099.70","22,418,605.00",15-07-2026
SRBLD83,"1,099.00","1,099.00","1,077.00","20,217.00","1,098.90","1,099.00","21,776,688.90",16-07-2026
SRBLD83,"1,098.90","1,098.90","1,098.90",2.00,"1,059.90","1,098.90","2,125.90",22-07-2026
SRBLD83,"1,044.90","1,044.90","1,044.90",10.00,"1,044.90","1,059.90","10,449.00",23-07-2026
SRBLD83,"1,024.30","1,024.30","1,015.00",581.00,"1,015.00","1,024.20","593,979.30",27-07-2026
SRBLD83,"1,011.00","1,020.00","1,010.00",210.00,"1,020.00","1,015.00","212,280.00",03-08-2026
SRBLD83,"1,020.00","1,020.00","1,020.00",400.00,"1,020.00","1,020.00","408,000.00",04-08-2026
SRBLD83,"1,008.10","1,008.10","1,008.10",25.00,"1,008.10","1,020.00","25,202.50",05-08-2026
