Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
STC,"4,117.00","4,197.00","4,116.00","1,802.00","4,128.00","4,200.00","7,464,815.00",10-08-2022
STC,"4,117.00","4,197.00","4,116.00","1,802.00","4,128.00","4,200.00","7,464,815.00",10-08-2022
STC,"4,130.00","4,199.00","4,050.00","2,576.00","4,120.00","4,128.00","10,582,108.50",11-08-2022
STC,"4,130.00","4,199.00","4,050.00","2,576.00","4,120.00","4,128.00","10,582,108.50",12-08-2022
STC,"4,130.00","4,199.00","4,050.00","2,576.00","4,120.00","4,128.00","10,582,108.50",13-08-2022
STC,"4,037.60","4,100.00","4,019.00","1,728.00","4,020.00","4,120.00","7,041,116.50",14-08-2022
STC,"4,021.00","4,238.00","4,020.00","2,269.00","4,212.00","4,020.00","9,382,862.00",15-08-2022
STC,"4,226.00","4,265.00","4,116.00","1,948.00","4,144.00","4,212.00","8,160,188.00",16-08-2022
STC,"4,150.00","4,200.00","4,104.00",312.00,"4,145.00","4,144.00","1,297,388.90",17-08-2022
STC,"4,150.00","4,225.00","4,135.00","1,985.00","4,184.00","4,145.00","8,292,744.50",18-08-2022
STC,"4,150.00","4,225.00","4,135.00","1,985.00","4,184.00","4,145.00","8,292,744.50",19-08-2022
STC,"4,150.00","4,225.00","4,135.00","1,985.00","4,184.00","4,145.00","8,292,744.50",20-08-2022
STC,"4,132.00","4,249.00","4,056.00","3,190.00","4,099.00","4,184.00","13,167,559.00",21-08-2022
STC,"4,100.00","4,100.00","4,040.20","1,879.00","4,099.00","4,099.00","7,634,511.70",22-08-2022
STC,"4,100.00","4,129.00","4,039.00","1,114.00","4,128.00","4,099.00","4,562,972.00",23-08-2022
STC,"4,128.00","4,128.00","4,053.00","1,841.00","4,076.10","4,128.00","7,537,576.30",24-08-2022
STC,"4,050.00","4,090.00","3,996.00","1,980.00","4,039.00","4,076.10","7,992,321.00",25-08-2022
STC,"4,109.00","4,109.00","3,900.00",856.00,"3,940.00","4,039.00","3,392,244.00",26-08-2022
STC,"4,109.00","4,109.00","3,900.00",856.00,"3,940.00","4,039.00","3,392,244.00",27-08-2022
STC,"4,000.00","4,005.00","3,841.00","1,913.00","3,850.00","3,940.00","7,434,152.00",28-08-2022
STC,"3,780.00","3,915.00","3,775.00","1,047.00","3,900.00","3,850.00","4,042,704.00",29-08-2022
STC,"3,978.00","4,010.00","3,810.00",721.00,"3,891.00","3,900.00","2,785,863.80",30-08-2022
STC,"3,850.00","3,850.00","3,805.00","1,443.00","3,840.00","3,891.00","5,516,412.00",31-08-2022
STC,"3,854.00","3,854.00","3,779.00",738.00,"3,836.00","3,840.00","2,814,917.00",01-09-2022
STC,"3,900.00","3,900.00","3,772.00","1,020.00","3,835.00","3,836.00","3,872,125.00",02-09-2022
STC,"3,900.00","3,900.00","3,772.00","1,020.00","3,835.00","3,836.00","3,872,125.00",03-09-2022
STC,"3,835.00","3,840.00","3,800.00",839.00,"3,825.00","3,835.00","3,193,280.00",04-09-2022
STC,"3,790.00","3,846.00","3,790.00",629.00,"3,795.00","3,825.00","2,401,220.00",05-09-2022
STC,"3,760.00","3,784.00","3,697.30","2,792.00","3,752.00","3,795.00","10,384,753.10",06-09-2022
STC,"3,782.00","3,782.00","3,650.00",759.00,"3,650.00","3,752.00","2,804,427.00",07-09-2022
STC,"3,631.00","3,647.00","3,570.00",995.00,"3,611.00","3,650.00","3,583,318.00",08-09-2022
STC,"3,631.00","3,647.00","3,570.00",995.00,"3,611.00","3,650.00","3,583,318.00",09-09-2022
