Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SYPNL,"1,358.00","1,383.70","1,350.00","41,930.00","1,351.00","1,359.00","57,331,878.50",06-07-2026
SYPNL,"1,283.50","1,374.80","1,283.50","28,176.00","1,367.50","1,351.00","38,405,590.70",07-07-2026
SYPNL,"1,300.00","1,368.00","1,300.00","36,378.00","1,354.00","1,367.50","49,333,756.20",08-07-2026
SYPNL,"1,310.00","1,371.00","1,310.00","44,444.00","1,340.00","1,354.00","60,266,788.90",09-07-2026
SYPNL,"1,300.00","1,364.00","1,300.00","22,494.00","1,359.00","1,340.00","30,194,469.90",10-07-2026
SYPNL,"1,330.00","1,357.00","1,282.10","54,123.00","1,289.00","1,359.00","71,034,116.60",13-07-2026
SYPNL,"1,224.60","1,330.00","1,224.60","46,271.00","1,277.00","1,289.00","59,104,397.70",14-07-2026
SYPNL,"1,301.00","1,310.00","1,262.00","31,623.00","1,299.80","1,277.00","41,015,646.00",15-07-2026
SYPNL,"1,282.00","1,305.00","1,226.10","37,066.00","1,255.00","1,299.80","47,070,536.40",16-07-2026
SYPNL,"1,192.30","1,338.00","1,192.30","56,308.00","1,338.00","1,255.00","74,239,187.40",17-07-2026
SYPNL,"1,350.00","1,411.00","1,338.00","108,582.00","1,397.50","1,338.00","150,852,842.00",20-07-2026
SYPNL,"1,327.70","1,448.00","1,327.70","96,349.00","1,405.00","1,397.50","136,397,739.40",21-07-2026
