Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
TPC,483.1,493.0,473.0,"5,093.00",490.0,491.0,"2,479,377.00",10-08-2022
TPC,483.1,493.0,473.0,"5,093.00",490.0,491.0,"2,479,377.00",10-08-2022
TPC,497.0,498.0,467.0,"11,437.00",468.0,490.0,"5,430,496.00",11-08-2022
TPC,497.0,498.0,467.0,"11,437.00",468.0,490.0,"5,430,496.00",12-08-2022
TPC,497.0,498.0,467.0,"11,437.00",468.0,490.0,"5,430,496.00",13-08-2022
TPC,459.1,477.0,448.0,"7,586.00",448.0,468.0,"3,432,381.50",14-08-2022
TPC,439.1,492.0,439.1,"4,597.00",476.9,448.0,"2,158,834.00",15-08-2022
TPC,486.0,494.7,462.0,"8,137.00",466.0,476.9,"3,852,361.00",16-08-2022
TPC,460.0,494.0,459.0,"3,280.00",465.0,466.0,"1,548,311.00",17-08-2022
TPC,474.3,485.9,468.0,"3,251.00",484.0,465.0,"1,561,179.50",18-08-2022
TPC,474.3,485.9,468.0,"3,251.00",484.0,465.0,"1,561,179.50",19-08-2022
TPC,474.3,485.9,468.0,"3,251.00",484.0,465.0,"1,561,179.50",20-08-2022
TPC,493.0,493.0,468.0,"4,056.00",479.0,484.0,"1,947,303.00",21-08-2022
TPC,470.0,483.4,460.6,572.00,480.0,479.0,"270,303.20",22-08-2022
TPC,470.4,479.8,464.6,"1,607.00",474.9,480.0,"760,914.00",23-08-2022
TPC,470.0,479.0,462.1,"1,172.00",469.0,474.9,"547,585.10",24-08-2022
TPC,461.0,474.0,455.0,"2,446.00",456.2,469.0,"1,132,738.50",25-08-2022
TPC,451.0,460.0,438.0,"5,435.00",447.0,456.2,"2,420,975.50",26-08-2022
TPC,451.0,460.0,438.0,"5,435.00",447.0,456.2,"2,420,975.50",27-08-2022
TPC,438.2,454.0,425.0,"3,652.00",433.0,447.0,"1,576,976.80",28-08-2022
TPC,425.0,441.0,422.0,"4,996.00",426.0,433.0,"2,143,860.90",29-08-2022
TPC,433.0,434.5,422.0,"3,930.00",425.0,426.0,"1,684,559.00",30-08-2022
TPC,430.0,430.0,415.1,"2,781.00",416.0,425.0,"1,168,475.20",31-08-2022
TPC,412.1,432.7,412.1,"4,395.00",420.1,416.0,"1,860,380.00",01-09-2022
TPC,428.0,432.0,414.0,"8,035.00",418.0,420.1,"3,366,318.20",02-09-2022
TPC,428.0,432.0,414.0,"8,035.00",418.0,420.1,"3,366,318.20",03-09-2022
TPC,425.0,426.3,412.2,"7,876.00",420.0,418.0,"3,277,139.70",04-09-2022
TPC,411.6,424.0,411.6,"2,015.00",415.6,420.0,"840,143.00",05-09-2022
TPC,413.0,421.2,400.0,"5,814.00",405.0,415.6,"2,355,201.50",06-09-2022
TPC,397.0,410.0,397.0,"1,990.00",407.0,405.0,"808,491.00",07-09-2022
TPC,401.0,422.0,401.0,"2,250.00",419.0,407.0,"931,138.60",08-09-2022
TPC,401.0,422.0,401.0,"2,250.00",419.0,407.0,"931,138.60",09-09-2022
TPC,401.0,422.0,401.0,"2,250.00",419.0,407.0,"931,138.60",10-09-2022
TPC,410.7,419.1,402.7,632.00,412.0,419.0,"259,957.70",11-09-2022
TPC,406.0,413.4,405.0,"1,905.00",409.9,412.0,"774,298.00",12-09-2022
TPC,402.1,421.2,402.1,"1,430.00",413.0,409.9,"596,223.00",13-09-2022
TPC,415.0,433.5,415.0,"3,543.00",424.0,413.0,"1,508,037.60",14-09-2022
TPC,416.0,424.3,398.0,"10,433.00",400.0,424.0,"4,219,355.70",15-09-2022
TPC,392.00,400.00,385.10,"1,899.00",397.70,400.00,"741,912.40",16-09-2022
