Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
UIC,390.0,405.0,389.1,"11,232.00",396.5,397.0,"4,456,706.50",10-08-2022
UIC,390.0,405.0,389.1,"11,232.00",396.5,397.0,"4,456,706.50",10-08-2022
UIC,400.0,420.2,386.0,"16,495.00",387.0,396.5,"6,488,144.80",11-08-2022
UIC,400.0,420.2,386.0,"16,495.00",387.0,396.5,"6,488,144.80",12-08-2022
UIC,400.0,420.2,386.0,"16,495.00",387.0,396.5,"6,488,144.80",13-08-2022
UIC,380.2,395.5,380.0,"7,315.00",384.1,387.0,"2,801,166.50",14-08-2022
UIC,390.0,404.0,390.0,"9,222.00",400.0,384.1,"3,668,599.90",15-08-2022
UIC,399.0,413.4,390.1,"17,311.00",395.0,400.0,"6,979,015.70",16-08-2022
UIC,388.0,400.0,388.0,"1,889.00",397.0,395.0,"749,376.20",17-08-2022
UIC,404.0,405.0,399.1,"6,400.00",404.0,397.0,"2,578,524.50",18-08-2022
UIC,404.0,405.0,399.1,"6,400.00",404.0,397.0,"2,578,524.50",19-08-2022
UIC,404.0,405.0,399.1,"6,400.00",404.0,397.0,"2,578,524.50",20-08-2022
UIC,412.0,412.0,396.0,"4,556.00",404.0,404.0,"1,830,084.90",21-08-2022
UIC,396.0,405.0,390.2,"6,040.00",400.0,404.0,"2,418,453.00",22-08-2022
UIC,395.1,398.5,390.0,"7,062.00",398.0,400.0,"2,772,219.00",23-08-2022
UIC,391.6,396.0,390.0,"3,006.00",392.0,398.0,"1,177,461.00",24-08-2022
UIC,395.0,397.0,385.0,"5,719.00",388.0,392.0,"2,220,513.40",25-08-2022
UIC,380.3,388.0,380.0,"6,844.00",386.0,388.0,"2,615,795.40",26-08-2022
UIC,380.3,388.0,380.0,"6,844.00",386.0,388.0,"2,615,795.40",27-08-2022
UIC,381.0,383.0,371.5,"9,697.00",376.0,386.0,"3,649,167.60",28-08-2022
UIC,382.8,382.8,370.0,"4,685.00",370.0,376.0,"1,746,738.10",29-08-2022
UIC,377.0,377.0,368.0,"5,687.00",374.0,370.0,"2,113,802.00",30-08-2022
UIC,369.0,375.0,366.6,"3,848.00",370.0,374.0,"1,424,585.70",31-08-2022
UIC,366.0,391.6,365.0,"10,202.00",381.0,370.0,"3,850,327.20",01-09-2022
UIC,388.0,388.0,365.3,"4,333.00",372.6,381.0,"1,610,971.80",02-09-2022
UIC,388.0,388.0,365.3,"4,333.00",372.6,381.0,"1,610,971.80",03-09-2022
UIC,379.0,399.4,372.0,"6,758.00",396.2,372.6,"2,611,774.80",04-09-2022
UIC,396.5,398.9,386.1,"8,942.00",390.4,396.2,"3,499,127.90",05-09-2022
UIC,382.7,383.0,376.0,"5,424.00",376.0,390.4,"2,059,426.00",06-09-2022
UIC,383.0,383.0,369.0,"9,499.00",375.0,376.0,"3,575,662.00",07-09-2022
UIC,367.7,390.0,367.5,"2,531.00",380.0,375.0,"957,858.10",08-09-2022
UIC,367.70,390.00,367.50,"2,531.00",380.00,375.00,"957,858.10",09-09-2022
