Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
ULHC,422.3,422.3,411.0,"6,826.00",414.0,429.0,"2,833,360.00",06-07-2026
ULHC,403.1,415.0,403.1,"5,387.00",410.0,414.0,"2,192,766.50",07-07-2026
ULHC,401.0,405.4,391.3,"11,015.00",391.3,410.0,"4,385,143.30",08-07-2026
ULHC,393.0,394.5,380.0,"9,055.00",381.0,391.3,"3,484,983.00",09-07-2026
ULHC,380.0,391.0,380.0,"17,510.00",384.5,381.0,"6,678,449.50",10-07-2026
ULHC,373.1,380.0,367.1,"8,160.00",368.9,384.5,"3,032,201.30",13-07-2026
ULHC,367.0,367.0,343.0,"23,153.00",357.0,368.9,"8,170,194.20",14-07-2026
ULHC,358.0,367.0,350.3,"7,237.00",358.0,357.0,"2,602,488.50",15-07-2026
ULHC,366.5,374.9,358.2,"10,191.00",358.2,358.0,"3,699,994.20",16-07-2026
ULHC,366.9,379.0,366.9,"11,147.00",373.0,358.2,"4,143,021.80",17-07-2026
ULHC,375.00,381.80,365.00,"12,330.00",370.10,373.00,"4,615,235.20",20-07-2026
