Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
UNL,"20,100.00","20,600.00","19,500.00","1,030.00","20,600.00","19,750.00","20,283,228.00",10-08-2022
UNL,"20,100.00","20,600.00","19,500.00","1,030.00","20,600.00","19,750.00","20,283,228.00",10-08-2022
UNL,"20,250.00","20,250.00","18,868.00",860.00,"18,905.00","20,600.00","16,545,143.00",11-08-2022
UNL,"20,250.00","20,250.00","18,868.00",860.00,"18,905.00","20,600.00","16,545,143.00",12-08-2022
UNL,"20,250.00","20,250.00","18,868.00",860.00,"18,905.00","20,600.00","16,545,143.00",13-08-2022
UNL,"18,600.00","18,897.50","18,527.00",115.00,"18,897.50","18,905.00","2,139,086.00",14-08-2022
UNL,"19,275.00","19,275.40","19,275.00",90.00,"19,275.00","18,897.50","1,734,754.00",15-08-2022
UNL,"19,660.50","19,660.50","18,135.00",175.00,"18,191.00","19,275.00","3,230,960.50",16-08-2022
UNL,"18,554.80","18,600.00","18,554.80",20.00,"18,600.00","18,191.00","371,548.00",17-08-2022
UNL,"18,260.00","18,690.00","18,260.00",90.00,"18,690.00","18,600.00","1,672,280.00",21-08-2022
UNL,"18,500.00","18,500.00","18,344.00",60.00,"18,344.00","18,690.00","1,106,440.00",22-08-2022
UNL,"18,710.80","18,720.00","18,500.00",71.00,"18,500.00","18,344.00","1,324,218.00",23-08-2022
UNL,"18,850.00","19,000.00","18,650.00",85.00,"18,850.00","18,500.00","1,596,950.00",24-08-2022
UNL,"18,600.00","18,600.00","18,550.00",20.00,"18,550.00","18,850.00","371,500.00",25-08-2022
UNL,"18,400.00","18,500.00","18,400.00",20.00,"18,500.00","18,550.00","369,000.00",26-08-2022
UNL,"18,400.00","18,500.00","18,400.00",20.00,"18,500.00","18,550.00","369,000.00",27-08-2022
UNL,"18,250.00","18,575.00","18,201.00",180.00,"18,575.00","18,500.00","3,296,460.00",28-08-2022
UNL,"18,880.00","18,880.00","18,300.00",70.00,"18,799.00","18,575.00","1,300,440.00",29-08-2022
UNL,"18,600.00","18,800.00","18,600.00",30.00,"18,800.00","18,799.00","561,990.00",31-08-2022
UNL,"18,784.00","18,784.00","18,421.00",50.00,"18,485.00","18,800.00","930,850.00",01-09-2022
UNL,"18,550.00","18,550.00","18,000.00",865.00,"18,000.00","18,485.00","15,611,443.50",02-09-2022
UNL,"18,550.00","18,550.00","18,000.00",865.00,"18,000.00","18,485.00","15,611,443.50",03-09-2022
UNL,"18,360.00","18,400.00","18,100.00",70.00,"18,100.00","18,000.00","1,280,800.00",04-09-2022
UNL,"18,225.00","18,225.00","18,225.00",10.00,"18,225.00","18,100.00","182,250.00",05-09-2022
UNL,"18,300.00","18,400.00","18,100.00",100.00,"18,100.00","18,225.00","1,822,600.00",06-09-2022
UNL,"18,200.00","18,200.00","18,050.00",40.00,"18,150.00","18,100.00","725,500.00",07-09-2022
UNL,"18,200.00","18,200.00","18,100.00",20.00,"18,100.00","18,150.00","363,000.00",08-09-2022
UNL,"18,200.00","18,200.00","18,100.00",20.00,"18,100.00","18,150.00","363,000.00",09-09-2022
UNL,"18,200.00","18,200.00","18,100.00",20.00,"18,100.00","18,150.00","363,000.00",10-09-2022
UNL,"18,399.90","18,399.90","18,399.90",10.00,"18,399.90","18,100.00","183,999.00",11-09-2022
UNL,"18,100.00","18,100.00","18,100.00",20.00,"18,100.00","18,399.90","362,000.00",12-09-2022
UNL,"18,050.00","18,100.00","18,050.00",50.00,"18,100.00","18,100.00","904,000.00",13-09-2022
UNL,"18,421.00","18,421.00","18,400.00",20.00,"18,400.00","18,100.00","368,210.00",14-09-2022
UNL,"18,400.00","18,400.00","18,000.00",90.00,"18,000.00","18,400.00","1,630,020.00",15-09-2022
UNL,"17,688.00","17,688.00","17,641.00",40.00,"17,641.00","18,000.00","706,111.00",18-09-2022
UNL,"17,688.00","17,688.00","17,641.00",40.00,"17,641.00","18,000.00","706,111.00",19-09-2022
UNL,"17,700.00","17,701.00","17,600.00",80.00,"17,700.00","17,641.00","1,415,010.00",20-09-2022
UNL,"17,401.00","17,750.00","17,401.00",30.00,"17,750.00","17,700.00","528,010.00",21-09-2022
UNL,"18,000.00","18,197.80","17,500.00",135.00,"17,500.00","17,750.00","2,398,816.50",25-09-2022
UNL,"18,000.00","18,197.80","17,500.00",135.00,"17,500.00","17,750.00","2,398,816.50",26-09-2022
UNL,"17,400.00","17,400.00","17,400.00",10.00,"17,400.00","17,500.00","174,000.00",27-09-2022
UNL,"17,300.00","17,646.00","17,300.00",35.00,"17,646.00","17,400.00","608,960.00",28-09-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",29-09-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",30-09-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",01-10-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",02-10-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",03-10-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",04-10-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",05-10-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",06-10-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",07-10-2022
UNL,"17,900.00","17,998.00","17,900.00",20.00,"17,998.00","17,646.00","358,980.00",08-10-2022
UNL,"17,800.00","17,800.00","17,800.00",10.00,"17,800.00","17,998.00","178,000.00",09-10-2022
UNL,"18,000.00","18,091.00","17,900.00",31.00,"17,900.00","17,800.00","557,910.00",10-10-2022
UNL,"17,900.00","17,900.00","17,900.00",30.00,"17,900.00","17,900.00","537,000.00",11-10-2022
UNL,"17,677.00","18,000.00","17,677.00",20.00,"18,000.00","17,900.00","356,770.00",12-10-2022
UNL,"18,360.00","18,360.00","18,350.00",40.00,"18,350.00","18,000.00","734,110.00",13-10-2022
UNL,"18,360.00","18,360.00","18,350.00",40.00,"18,350.00","18,000.00","734,110.00",14-10-2022
UNL,"18,360.00","18,360.00","18,350.00",40.00,"18,350.00","18,000.00","734,110.00",15-10-2022
UNL,"18,000.00","18,360.00","18,000.00",228.00,"18,120.00","18,350.00","4,129,377.00",16-10-2022
UNL,"18,120.00","18,120.00","18,120.00",30.00,"18,120.00","18,120.00","543,600.00",19-10-2022
UNL,"18,100.00","18,150.00","18,100.00",30.00,"18,150.00","18,120.00","544,000.00",20-10-2022
UNL,"18,100.00","18,150.00","18,100.00",30.00,"18,150.00","18,120.00","544,000.00",21-10-2022
UNL,"18,100.00","18,150.00","18,100.00",30.00,"18,150.00","18,120.00","544,000.00",22-10-2022
UNL,"18,000.00","18,100.00","18,000.00",145.00,"18,000.00","18,150.00","2,616,777.00",23-10-2022
UNL,"18,000.00","18,100.00","18,000.00",145.00,"18,000.00","18,150.00","2,616,777.00",24-10-2022
UNL,"18,000.00","18,100.00","18,000.00",145.00,"18,000.00","18,150.00","2,616,777.00",25-10-2022
UNL,"18,000.00","18,100.00","18,000.00",145.00,"18,000.00","18,150.00","2,616,777.00",26-10-2022
UNL,"18,000.00","18,100.00","18,000.00",145.00,"18,000.00","18,150.00","2,616,777.00",27-10-2022
UNL,"18,000.00","18,100.00","18,000.00",145.00,"18,000.00","18,150.00","2,616,777.00",28-10-2022
UNL,"18,000.00","18,100.00","18,000.00",145.00,"18,000.00","18,150.00","2,616,777.00",29-10-2022
UNL,"18,000.00","18,100.00","18,000.00",145.00,"18,000.00","18,150.00","2,616,777.00",30-10-2022
UNL,"18,000.00","18,000.00","18,000.00",20.00,"18,000.00","18,000.00","360,000.00",31-10-2022
UNL,"18,300.00","18,300.00","18,004.00",20.00,"18,004.00","18,000.00","363,040.00",01-11-2022
UNL,"18,100.00","18,364.00","18,100.00",60.00,"18,300.00","18,004.00","1,098,280.00",02-11-2022
UNL,"18,666.00","19,999.00","18,666.00",380.00,"19,500.00","18,300.00","7,402,563.00",03-11-2022
UNL,"18,666.00","19,999.00","18,666.00",380.00,"19,500.00","18,300.00","7,402,563.00",04-11-2022
UNL,"19,890.00","20,499.00","19,890.00",640.00,"20,000.00","19,500.00","12,909,680.00",06-11-2022
UNL,"20,010.00","20,300.00","19,612.00",160.00,"19,999.90","20,000.00","3,203,973.00",07-11-2022
UNL,"19,600.00","19,690.00","19,600.00",60.00,"19,600.00","19,999.90","1,177,400.00",08-11-2022
UNL,"19,208.00","19,490.00","18,826.10",50.00,"19,490.00","19,600.00","955,941.00",09-11-2022
UNL,"19,103.10","19,480.00","19,103.10",30.00,"19,480.00","19,490.00","577,831.00",10-11-2022
UNL,"19,103.10","19,480.00","19,103.10",30.00,"19,480.00","19,490.00","577,831.00",10-11-2022
UNL,"19,103.10","19,480.00","19,103.10",30.00,"19,480.00","19,490.00","577,831.00",11-11-2022
UNL,"19,103.10","19,480.00","19,103.10",30.00,"19,480.00","19,490.00","577,831.00",12-11-2022
UNL,"19,100.00","19,200.00","19,100.00",20.00,"19,200.00","19,480.00","383,000.00",13-11-2022
UNL,"19,583.00","19,600.00","19,505.00",85.00,"19,600.00","19,200.00","1,663,435.00",15-11-2022
UNL,"19,992.00","19,998.80","19,891.00",95.00,"19,891.00","19,600.00","1,893,933.00",16-11-2022
UNL,"20,000.00","20,200.00","19,600.00",370.00,"19,700.00","19,891.00","7,392,560.00",17-11-2022
UNL,"20,000.00","20,200.00","19,600.00",370.00,"19,700.00","19,891.00","7,392,560.00",18-11-2022
UNL,"20,000.00","20,200.00","19,600.00",370.00,"19,700.00","19,891.00","7,392,560.00",19-11-2022
UNL,"20,000.00","20,200.00","19,600.00",370.00,"19,700.00","19,891.00","7,392,560.00",20-11-2022
UNL,"20,000.00","20,200.00","19,600.00",370.00,"19,700.00","19,891.00","7,392,560.00",21-11-2022
UNL,"19,306.00","19,306.00","18,601.00",115.00,"18,601.00","19,700.00","2,165,325.00",22-11-2022
UNL,"18,600.00","18,600.00","18,600.00",20.00,"18,600.00","18,601.00","372,000.00",23-11-2022
UNL,"18,600.00","18,600.00","18,600.00",10.00,"18,600.00","18,600.00","186,000.00",24-11-2022
UNL,"18,600.00","18,600.00","18,600.00",10.00,"18,600.00","18,600.00","186,000.00",25-11-2022
UNL,"18,600.00","18,600.00","18,600.00",10.00,"18,600.00","18,600.00","186,000.00",26-11-2022
UNL,"18,940.00","18,972.00","18,600.00",200.00,"18,700.00","18,600.00","3,771,940.00",27-11-2022
UNL,"18,600.00","18,600.00","18,500.00",29.00,"18,500.00","18,700.00","538,400.00",28-11-2022
UNL,"18,130.00","18,555.00","17,836.00",110.00,"18,184.00","18,500.00","2,003,240.00",29-11-2022
UNL,"18,001.00","18,360.00","17,700.00",280.00,"17,700.00","18,184.00","5,011,041.00",30-11-2022
UNL,"18,054.00","18,415.00","18,054.00",30.00,"18,415.00","17,700.00","548,840.00",01-12-2022
UNL,"18,054.00","18,415.00","18,054.00",30.00,"18,415.00","17,700.00","548,840.00",02-12-2022
UNL,"18,054.00","18,415.00","18,054.00",30.00,"18,415.00","17,700.00","548,840.00",03-12-2022
UNL,"18,421.00","18,500.00","18,416.00",60.00,"18,500.00","18,415.00","1,108,050.00",04-12-2022
UNL,"18,870.00","18,870.00","18,600.00",45.00,"18,600.00","18,500.00","843,050.00",05-12-2022
UNL,"18,450.00","18,600.00","18,450.00",60.00,"18,600.00","18,600.00","1,112,488.00",06-12-2022
UNL,"18,500.00","18,500.00","18,360.10",80.00,"18,360.10","18,600.00","1,475,202.00",07-12-2022
UNL,"18,500.00","18,500.00","18,360.10",80.00,"18,360.10","18,600.00","1,475,202.00",08-12-2022
UNL,"18,500.00","18,500.00","18,360.10",80.00,"18,360.10","18,600.00","1,475,202.00",09-12-2022
UNL,"18,500.00","18,500.00","18,360.10",80.00,"18,360.10","18,600.00","1,475,202.00",10-12-2022
UNL,"18,727.00","19,050.00","18,424.00",50.00,"18,600.00","18,360.10","936,010.00",11-12-2022
UNL,"18,590.00","18,599.00","18,590.00",60.00,"18,599.00","18,600.00","1,115,850.00",12-12-2022
UNL,"18,965.00","18,965.00","18,965.00",20.00,"18,965.00","18,599.00","379,300.00",14-12-2022
UNL,"18,940.00","18,940.00","18,849.00",120.00,"18,849.00","18,965.00","2,270,070.00",15-12-2022
UNL,"18,940.00","18,940.00","18,849.00",120.00,"18,849.00","18,965.00","2,270,070.00",16-12-2022
UNL,"18,940.00","18,940.00","18,849.00",120.00,"18,849.00","18,965.00","2,270,070.00",17-12-2022
UNL,"18,480.00","18,480.00","18,475.00",40.00,"18,475.00","18,849.00","739,050.00",19-12-2022
UNL,"18,600.00","18,797.00","18,600.00",65.00,"18,797.00","18,475.00","1,217,865.00",20-12-2022
UNL,"18,500.00","18,550.00","18,500.00",80.00,"18,500.00","18,797.00","1,482,390.00",21-12-2022
UNL,"18,865.00","18,865.00","18,500.00",230.00,"18,500.00","18,500.00","4,310,110.00",22-12-2022
UNL,"18,865.00","18,865.00","18,500.00",230.00,"18,500.00","18,500.00","4,310,110.00",23-12-2022
UNL,"18,865.00","18,865.00","18,500.00",230.00,"18,500.00","18,500.00","4,310,110.00",24-12-2022
UNL,"18,865.00","18,865.00","18,500.00",230.00,"18,500.00","18,500.00","4,310,110.00",25-12-2022
UNL,"18,370.00","18,725.00","18,200.00",590.00,"18,245.00","18,500.00","10,806,345.00",27-12-2022
UNL,"18,300.00","18,400.00","18,215.00",180.00,"18,400.00","18,245.00","3,290,200.00",28-12-2022
UNL,"18,300.00","18,768.00","18,300.00",202.00,"18,675.00","18,400.00","3,747,940.00",29-12-2022
UNL,"18,300.00","18,768.00","18,300.00",202.00,"18,675.00","18,400.00","3,747,940.00",30-12-2022
UNL,"18,300.00","18,768.00","18,300.00",202.00,"18,675.00","18,400.00","3,747,940.00",31-12-2022
UNL,"18,900.00","18,900.00","18,300.00",170.00,"18,350.00","18,675.00","3,132,550.00",01-01-2023
UNL,"18,250.00","18,499.00","18,000.00",150.00,"18,100.00","18,350.00","2,742,870.00",03-01-2023
UNL,"18,250.00","18,350.00","18,250.00",70.00,"18,350.00","18,100.00","1,282,500.00",04-01-2023
UNL,"18,717.00","18,717.00","18,300.00",50.00,"18,300.00","18,350.00","922,520.00",05-01-2023
UNL,"18,717.00","18,717.00","18,300.00",50.00,"18,300.00","18,350.00","922,520.00",06-01-2023
