Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
UPCL,258.0,269.6,252.5,"115,851.00",264.0,262.1,"30,439,677.10",10-08-2022
UPCL,258.0,269.6,252.5,"115,851.00",264.0,262.1,"30,439,677.10",10-08-2022
UPCL,267.9,268.2,257.0,"100,620.00",257.0,264.0,"26,302,480.30",11-08-2022
UPCL,267.9,268.2,257.0,"100,620.00",257.0,264.0,"26,302,480.30",12-08-2022
UPCL,267.9,268.2,257.0,"100,620.00",257.0,264.0,"26,302,480.30",13-08-2022
UPCL,254.0,260.5,248.1,"84,521.00",248.5,257.0,"21,399,966.90",14-08-2022
UPCL,249.5,272.5,249.5,"168,593.00",271.0,248.5,"44,451,078.10",15-08-2022
UPCL,276.4,276.4,260.0,"172,072.00",260.2,271.0,"45,894,008.00",16-08-2022
UPCL,264.4,268.5,260.0,"80,784.00",263.0,260.2,"21,323,677.50",17-08-2022
UPCL,264.0,271.2,261.2,"105,931.00",268.0,263.0,"28,335,382.30",18-08-2022
UPCL,264.0,271.2,261.2,"105,931.00",268.0,263.0,"28,335,382.30",19-08-2022
UPCL,264.0,271.2,261.2,"105,931.00",268.0,263.0,"28,335,382.30",20-08-2022
UPCL,270.0,273.0,261.8,"53,259.00",262.0,268.0,"14,152,053.20",21-08-2022
UPCL,260.0,265.0,258.0,"34,549.00",264.0,262.0,"9,036,397.10",22-08-2022
UPCL,267.8,267.8,261.5,"66,159.00",262.0,264.0,"17,437,221.00",23-08-2022
UPCL,262.0,266.3,259.0,"54,413.00",259.5,262.0,"14,269,076.30",24-08-2022
UPCL,259.20,264.70,254.00,"71,622.00",257.00,259.50,"18,410,401.20",25-08-2022
