Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
USHL,557.5,557.5,481.0,"7,063.00",500.0,531.0,"3,499,293.90",06-07-2026
USHL,525.0,525.0,496.1,"3,515.00",498.3,500.0,"1,767,375.50",07-07-2026
USHL,490.0,504.0,481.3,"3,240.00",481.3,498.3,"1,582,835.60",08-07-2026
USHL,505.3,505.3,475.0,"5,723.00",482.5,481.3,"2,755,286.90",09-07-2026
USHL,496.8,499.0,472.0,"2,502.00",493.0,482.5,"1,217,757.40",10-07-2026
USHL,517.6,517.6,472.6,950.00,480.0,493.0,"457,558.60",13-07-2026
USHL,504.0,504.0,468.1,"6,905.00",487.1,480.0,"3,370,064.10",14-07-2026
USHL,511.4,511.4,468.3,"1,342.00",492.3,487.1,"660,443.10",15-07-2026
USHL,516.0,516.0,494.0,"3,800.00",494.0,492.3,"1,895,311.50",16-07-2026
USHL,518.7,518.7,500.0,"3,832.00",515.0,494.0,"1,959,299.30",17-07-2026
USHL,540.0,540.0,515.0,"4,097.00",540.0,515.0,"2,181,254.70",20-07-2026
USHL,567.0,567.0,528.8,"8,194.00",540.8,540.0,"4,459,321.30",21-07-2026
USHL,514.0,554.2,514.0,"2,309.00",550.0,540.8,"1,251,107.10",22-07-2026
USHL,577.0,577.0,538.5,"2,354.00",550.0,550.0,"1,281,595.60",23-07-2026
USHL,550.0,565.0,540.3,"1,440.00",540.3,559.0,"792,701.60",27-07-2026
USHL,567.3,567.3,538.0,"2,929.00",550.0,540.3,"1,584,620.10",28-07-2026
USHL,545.1,550.0,540.0,"1,136.00",543.0,550.0,"616,924.50",29-07-2026
USHL,570.0,570.0,536.5,"2,165.00",543.0,543.0,"1,172,536.10",30-07-2026
USHL,570.1,570.1,526.3,"1,246.00",544.3,543.0,"672,294.10",31-07-2026
USHL,571.5,571.5,530.9,946.00,544.0,544.3,"509,219.70",03-08-2026
USHL,545.0,554.9,523.0,"3,008.00",540.0,544.0,"1,600,491.60",04-08-2026
USHL,567.0,567.0,519.1,"1,703.00",539.0,540.0,"905,163.00",05-08-2026
USHL,565.9,565.9,528.0,675.00,539.0,539.0,"362,111.20",06-08-2026
USHL,525.4,550.0,525.2,"1,505.00",538.9,539.0,"803,813.20",07-08-2026
USHL,565.8,565.8,535.1,"1,586.00",544.9,538.9,"855,050.40",10-08-2026
USHL,523.0,555.0,523.0,"1,518.00",535.0,544.9,"812,331.00",11-08-2026
USHL,509.0,551.8,509.0,"2,798.00",530.0,535.0,"1,500,423.00",12-08-2026
USHL,556.5,556.5,523.8,"1,502.00",537.9,530.0,"789,663.70",13-08-2026
USHL,523.0,553.0,523.0,"3,581.00",543.0,537.9,"1,921,273.80",14-08-2026
USHL,570.1,570.1,525.0,"4,633.00",544.0,543.0,"2,501,316.50",17-08-2026
USHL,535.2,540.0,531.2,575.00,540.0,544.0,"308,190.10",18-08-2026
USHL,535.0,540.0,525.0,948.00,540.0,540.0,"504,317.90",19-08-2026
USHL,529.50,539.00,529.50,"3,065.00",535.90,540.00,"1,627,084.90",20-08-2026
