Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
USLB,"1,025.00","1,035.00","1,024.20",414.0,"1,030.00","1,045.10","425,061.00",10-08-2022
USLB,"1,025.00","1,035.00","1,024.20",414.0,"1,030.00","1,045.10","425,061.00",10-08-2022
USLB,"1,025.00","1,035.00",990.10,"2,121.00","1,000.00","1,030.00","2,142,463.40",11-08-2022
USLB,"1,025.00","1,035.00",990.10,"2,121.00","1,000.00","1,030.00","2,142,463.40",12-08-2022
USLB,"1,025.00","1,035.00",990.10,"2,121.00","1,000.00","1,030.00","2,142,463.40",13-08-2022
USLB,981.20,985.00,981.10,443.00,984.00,"1,000.00","435,437.20",14-08-2022
USLB,994.90,"1,043.00",994.90,891.00,"1,005.00",984.00,"903,827.00",15-08-2022
USLB,"1,025.00","1,025.00","1,000.00",240.00,"1,000.00","1,005.00","241,397.00",16-08-2022
USLB,"1,020.00","1,037.90","1,000.00",263.00,"1,000.00","1,000.00","269,924.80",17-08-2022
USLB,995.00,"1,020.00",995.00,452.00,"1,001.00","1,000.00","456,147.00",18-08-2022
USLB,995.00,"1,020.00",995.00,452.00,"1,001.00","1,000.00","456,147.00",19-08-2022
USLB,995.00,"1,020.00",995.00,452.00,"1,001.00","1,000.00","456,147.00",20-08-2022
USLB,"1,021.00","1,061.80","1,000.00","1,709.00","1,010.00","1,001.00","1,737,672.00",21-08-2022
USLB,"1,010.00","1,019.00","1,001.00",75.00,"1,019.00","1,010.00","75,894.00",22-08-2022
USLB,"1,039.30","1,040.00","1,000.00",582.00,"1,002.00","1,019.00","586,537.00",23-08-2022
USLB,"1,002.00","1,024.00","1,002.00",661.00,"1,006.60","1,002.00","670,399.20",24-08-2022
USLB,"1,006.00","1,006.00",999.00,194.00,"1,000.00","1,006.60","194,154.00",25-08-2022
USLB,981.50,999.00,981.50,686.00,990.00,"1,000.00","678,319.00",26-08-2022
USLB,981.50,999.00,981.50,686.00,990.00,"1,000.00","678,319.00",27-08-2022
USLB,971.00,975.00,933.00,"1,856.00",950.00,990.00,"1,775,288.80",28-08-2022
USLB,931.00,960.00,912.40,722.00,930.00,950.00,"668,357.00",29-08-2022
USLB,948.00,948.00,911.40,556.00,929.00,930.00,"514,454.00",30-08-2022
USLB,911.00,983.10,911.00,836.00,944.00,929.00,"776,931.20",31-08-2022
USLB,962.80,981.80,931.20,174.00,931.20,944.00,"164,883.80",01-09-2022
USLB,912.60,986.70,912.60,370.00,937.00,931.20,"356,873.00",02-09-2022
USLB,912.60,986.70,912.60,370.00,937.00,931.20,"356,873.00",03-09-2022
USLB,955.70,975.00,938.00,275.00,975.00,937.00,"262,575.00",04-09-2022
USLB,980.00,980.00,942.10,153.00,950.00,975.00,"146,239.10",05-09-2022
USLB,935.30,"1,045.00",920.00,897.00,"1,042.00",950.00,"850,758.30",06-09-2022
USLB,"1,021.20","1,022.00",965.00,991.00,989.00,"1,042.00","991,491.00",07-09-2022
USLB,989.00,989.00,970.00,489.00,971.00,989.00,"480,080.00",08-09-2022
USLB,989.00,989.00,970.00,489.00,971.00,989.00,"480,080.00",09-09-2022
USLB,989.00,989.00,970.00,489.00,971.00,989.00,"480,080.00",10-09-2022
USLB,990.40,990.40,960.00,144.00,960.00,971.00,"139,847.00",11-09-2022
USLB,940.80,954.00,936.00,245.00,940.00,960.00,"230,853.20",12-09-2022
USLB,957.00,970.00,950.00,225.00,970.00,940.00,"215,680.00",13-09-2022
USLB,988.00,"1,006.00",962.10,360.00,962.10,970.00,"354,248.60",14-09-2022
